Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
1826826562138920203, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 26, 2.48236e-06, 1.88994e-06
5529642996158106930, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 34, 4.7172e-06, 1.40521e-05
5844360820209624368, 5000, 3.0e-09, 6.0e-07, -0.0001, 21, 27, 7.91651e-06, 4.79882e-06
6686737901747026245, 5000, 3.0e-09, 6.0e-07, -0.0001, 25, 28, 8.13522e-06, 7.94124e-06
2352939474090020433, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 32, 3.53288e-06, 2.91774e-06
8344704209552862567, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 28, 2.74362e-06, 5.53104e-06
1118405723657678827, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 27, 4.44014e-06, 1.28459e-05
8394016380683156046, 5000, 1.0e-09, 2.0e-07, -0.0001, 3, 7, 4.79774e-07, 1.26934e-06
3086156676669326986, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 26, 3.25403e-06, 5.07872e-06
3006760503144064901, 5000, 3.0e-09, 6.0e-07, -0.0001, 8, 22, 2.01073e-06, 2.39686e-06
8639247689399615551, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 31, 3.16723e-06, 2.3091e-06
2382832837061657508, 5000, 3.0e-09, 6.0e-07, -0.0001, 8, 39, 2.53795e-06, 7.23462e-06
1585502566813650149, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 24, 8.00642e-06, 6.87417e-06
2539372353734030679, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 25, 2.73737e-06, 3.45131e-06
4566918946395337524, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 39, 2.81427e-06, 8.84807e-06
3515914436656269218, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 21, 2.8848e-06, 5.33641e-06
480441844940348407, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 21, 6.86124e-06, 5.45241e-06
7467678844906192205, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 25, 5.90642e-06, 1.05071e-05
2782943702806981032, 5000, 1.0e-09, 2.0e-07, -0.0001, 8, 4, 3.75565e-06, 7.18628e-08
2278204060051910083, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 27, 6.4091e-06, 1.03705e-05
6628080740891858967, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 26, 1.82948e-06, 6.03242e-06
4020086609335256764, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 25, 2.79577e-06, 8.62748e-06
2258617149325854689, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 32, 4.45042e-06, 9.63288e-06
1401056096505690616, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 29, 4.69702e-06, 5.35166e-06
58737727963902874, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 35, 2.33024e-06, 1.2897e-05
3674203674938354084, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 29, 5.22009e-06, 1.19637e-05
4353655336621544137, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 37, 1.56173e-06, 7.66869e-06
2147789027857978290, 5000, 3.0e-09, 6.0e-07, -0.0001, 25, 27, 4.69976e-06, 1.00744e-05
8644719908584358768, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 26, 3.29051e-06, 9.06662e-06
6999406023560760257, 5000, 1.0e-09, 2.0e-07, -0.0001, 3, 6, 7.77017e-07, 7.15581e-07
2964418162696208619, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 30, 1.91848e-06, 1.57027e-05
3333282716921066254, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 34, 8.0933e-06, 7.13849e-06
6099060505317276745, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 26, 3.69426e-06, 7.78416e-06
1590754453827603978, 5000, 3.0e-09, 6.0e-07, -0.0001, 23, 23, 9.66364e-06, 7.4892e-06
1273534300788392836, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 34, 2.01298e-06, 1.21981e-05
573878207856223039, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 33, 6.26551e-07, 1.89361e-05
155833787776440894, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 33, 2.64937e-06, 1.08797e-05
3942688744271079028, 5000, 3.0e-09, 6.0e-07, -0.0001, 9, 35, 1.02114e-06, 6.73263e-06
4193683201343450995, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 37, 1.06193e-06, 1.08897e-05
5062105800787808569, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 45, 2.56319e-06, 1.42565e-05
6229072241153619090, 5000, 1.0e-09, 2.0e-07, -0.0001, 5, 12, 7.61469e-07, 3.6228e-06
5162076623792995392, 5000, 3.0e-09, 6.0e-07, -0.0001, 21, 30, 6.21804e-06, 6.74521e-06
4943591018825440718, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 43, 2.35711e-06, 1.58467e-05
1393813946481082767, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 34, 8.38134e-06, 7.2904e-06
9092318988455763732, 5000, 3.0e-09, 6.0e-07, -0.0001, 23, 20, 4.94756e-06, 5.94784e-06
9135160911269818054, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 30, 4.62749e-06, 8.41593e-06
5982060150362149714, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 33, 3.75063e-06, 2.16023e-05
6069978641022755261, 5000, 3.0e-09, 6.0e-07, -0.0001, 9, 31, 4.3123e-06, 1.23642e-05
1025844171241622363, 5000, 3.0e-09, 6.0e-07, -0.0001, 23, 37, 3.66963e-06, 9.45263e-06
2315153243732455082, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 26, 4.40012e-06, 4.47131e-06
2747903758566475123, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 35, 9.25004e-06, 1.23933e-05
3280642747317595469, 5000, 1.0e-09, 2.0e-07, -0.0001, 7, 11, 7.62526e-07, 6.28881e-06
540131411651102561, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 23, 8.84591e-06, 1.01241e-05
5982789515683479347, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 36, 7.42533e-06, 1.92996e-05
6235542616247246548, 5000, 3.0e-09, 6.0e-07, -0.0001, 24, 41, 6.31775e-06, 1.14239e-05
7613503541553010265, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 25, 6.11592e-06, 7.82664e-06
2343234354604273573, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 25, 6.21417e-06, 1.2e-05
2221291495837636573, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 26, 2.96188e-06, 7.65365e-06
3051836041549831583, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 29, 1.04681e-05, 7.67528e-06
4895650449803094905, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 28, 6.32907e-07, 7.21403e-06
7664326357742217460, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 29, 1.36358e-06, 6.75839e-06
6099214417040333967, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 27, 5.21617e-06, 1.13823e-05
1359542767084107057, 5000, 1.0e-09, 2.0e-07, -0.0001, 2, 6, 5.9996e-09, 1.40844e-06
1990359504622477725, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 32, 4.92807e-06, 5.58072e-06
5472316356827157055, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 37, 3.26029e-06, 4.62443e-06
6070172651254623906, 5000, 3.0e-09, 6.0e-07, -0.0001, 5, 27, 4.53932e-07, 6.32077e-06
7444096726734572309, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 23, 3.26008e-06, 3.48793e-06
8709034537074418794, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 28, 3.4861e-06, 7.14278e-06
539747631102999571, 5000, 3.0e-09, 6.0e-07, -0.0001, 21, 22, 9.49876e-06, 3.19793e-06
6428309059277071663, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 34, 2.6551e-06, 4.79446e-06
1264156907078794730, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 27, 1.8954e-06, 6.15645e-06
8603846090214461940, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 27, 4.11001e-06, 8.10829e-06
6153356456694865036, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 38, 1.00494e-06, 6.08349e-06
5679547987690084194, 5000, 1.0e-09, 2.0e-07, -0.0001, 6, 18, 8.17118e-07, 6.27005e-06
3743246407922381755, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 35, 3.87368e-06, 7.19267e-06
6979393858324872371, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 24, 1.95298e-06, 5.51345e-06
93475882975089075, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 32, 5.70943e-06, 4.89303e-06
